reading	kind	characters	surfaces	parts_of_speech	allocations	school_source_count	school_sources	japanese_education_source_count	japanese_education_sources	auto_rule_failures	selected
あい	normal	2	×藍,愛,相	名,名・接頭	2,3	5	中央,児言研,国語研,新阪本,阪本	5	七種対照,国語研,工藤,木幡,玉村		auto-selected
あいいく	normal	4	愛育	名・ス他	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
あいうち	normal	4	相撃ち・相打ち・相討ち	名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
あいかぎ	normal	4	合×鍵	名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
あいがん	terminal	4	哀願,愛×玩	名・ス他,名・ス自他	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
あいきょう	normal	5	愛△敬・愛×嬌,愛郷	名	2,3	2	新阪本,阪本	2	工藤,木幡	school-source-count-3	unreviewed
あいぎ	normal	3	△間着・合着	名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
あいくち	normal	4	合口・〈×匕首〉	名	2	1	新阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
あいけん	terminal	4	愛犬	名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
あいこ	normal	3	愛顧,相子	名	1,3	3	新阪本,池原,阪本	2	工藤,木幡		auto-selected
あいこう	normal	4	愛好	名・ス他	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
あいこく	normal	4	愛国	名	2	3	児言研,新阪本,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
あいことば	normal	5	合言葉	名	3	2	新阪本,阪本	2	工藤,木幡	school-source-count-3	unreviewed
