reading	kind	head	tail	characters
あい	normal	あ	い	2
あいこ	normal	あ	こ	3
あいさつ	normal	あ	つ	4
あいじょう	normal	あ	う	5
あいすくりーむ	normal	あ	む	7
あいず	normal	あ	ず	3
あいそう	normal	あ	う	4
あいだ	normal	あ	だ	3
あいて	normal	あ	て	3
あうと	normal	あ	と	3
あお	normal	あ	お	2
あおぞら	normal	あ	ら	4
あおむけ	normal	あ	け	4
あか	normal	あ	か	2
あかじ	normal	あ	じ	3
あかとんぼ	normal	あ	ぼ	5
あかり	normal	あ	り	3
あかんぼう	normal	あ	う	5
あがり	normal	あ	り	3
あき	normal	あ	き	2
あくせんと	normal	あ	と	5
あくび	normal	あ	び	3
あくま	normal	あ	ま	3
あけがた	normal	あ	た	4
あご	normal	あ	ご	2
あさ	normal	あ	さ	2
あさがお	normal	あ	お	4
あさって	normal	あ	て	4
あさひ	normal	あ	ひ	3
あさめし	normal	あ	し	4
あざらし	normal	あ	し	4
あし	normal	あ	し	2
あしあと	normal	あ	と	4
あしおと	normal	あ	と	4
あした	normal	あ	た	3
あしもと	normal	あ	と	4
あじ	normal	あ	じ	2
あじさい	normal	あ	い	4
あす	normal	あ	す	2
あせ	normal	あ	せ	2
あぜみち	normal	あ	ち	4
あそび	normal	あ	び	3
あたい	normal	あ	い	3
あたま	normal	あ	ま	3
あたり	normal	あ	り	3
あちこち	normal	あ	ち	4
あちらこちら	normal	あ	ら	6
あつまり	normal	あ	り	4
あつりょく	normal	あ	く	5
あて	normal	あ	て	2
あてな	normal	あ	な	3
あと	normal	あ	と	2
あとまわし	normal	あ	し	5
あな	normal	あ	な	2
あに	normal	あ	に	2
あね	normal	あ	ね	2
あぱーと	normal	あ	と	4
あひる	normal	あ	る	3
あぶら	normal	あ	ら	3
あべこべ	normal	あ	べ	4
あまだれ	normal	あ	れ	4
あまど	normal	あ	ど	3
あまのがわ	normal	あ	わ	5
あまり	normal	あ	り	3
あみ	normal	あ	み	2
あみもの	normal	あ	の	4
あめ	normal	あ	め	2
あめりか	normal	あ	か	4
あやまり	normal	あ	り	4
あゆみ	normal	あ	み	3
あらし	normal	あ	し	3
あらすじ	normal	あ	じ	4
あらそい	normal	あ	い	4
あらびあ	normal	あ	あ	4
あられ	normal	あ	れ	3
あらわれ	normal	あ	れ	4
あり	normal	あ	り	2
ありさま	normal	あ	ま	4
あるこーる	normal	あ	る	5
あるばいと	normal	あ	と	5
あるばむ	normal	あ	む	4
あわ	normal	あ	わ	2
あわれ	normal	あ	れ	3
あんき	normal	あ	き	3
あんてい	normal	あ	い	4
あんてな	normal	あ	な	4
あんない	normal	あ	い	4
いいかた	normal	い	た	4
いいつけ	normal	い	け	4
いいわけ	normal	い	け	4
いえ	normal	い	え	2
いか	normal	い	か	2
いかだ	normal	い	だ	3
いかり	normal	い	り	3
いがい	normal	い	い	3
いき	normal	い	き	2
いきおい	normal	い	い	4
いきもの	normal	い	の	4
いぎりす	normal	い	す	4
いくつ	normal	い	つ	3
いくにち	normal	い	ち	4
いくら	normal	い	ら	3
いけ	normal	い	け	2
いけばな	normal	い	な	4
いご	normal	い	ご	2
いし	normal	い	し	2
いしき	normal	い	き	3
いしょう	normal	い	う	4
いじ	normal	い	じ	2
いじょう	normal	い	う	4
いじわる	normal	い	る	4
いす	normal	い	す	2
いずみ	normal	い	み	3
いた	normal	い	た	2
いたずら	normal	い	ら	4
いただき	normal	い	き	4
いたのま	normal	い	ま	4
いたみ	normal	い	み	3
いち	normal	い	ち	2
いちご	normal	い	ご	3
いちじ	normal	い	じ	3
いちど	normal	い	ど	3
いちば	normal	い	ば	3
いちぶ	normal	い	ぶ	3
いちょう	normal	い	う	4
いっか	normal	い	か	3
いっき	normal	い	き	3
いっさい	normal	い	い	4
いっしょう	normal	い	う	5
いっせい	normal	い	い	4
いったい	normal	い	い	4
いっち	normal	い	ち	3
いってい	normal	い	い	4
いっぱい	normal	い	い	4
いっぽう	normal	い	う	4
いつ	normal	い	つ	2
いつか	normal	い	か	3
いつつ	normal	い	つ	3
いと	normal	い	と	2
いとこ	normal	い	こ	3
いど	normal	い	ど	2
いどう	normal	い	う	3
いなか	normal	い	か	3
いぬ	normal	い	ぬ	2
いね	normal	い	ね	2
いねかり	normal	い	り	4
いねむり	normal	い	り	4
いのち	normal	い	ち	3
いのり	normal	い	り	3
いびき	normal	い	き	3
いま	normal	い	ま	2
いまごろ	normal	い	ろ	4
いみ	normal	い	み	2
いも	normal	い	も	2
いもうと	normal	い	と	4
いらい	normal	い	い	3
いりぐち	normal	い	ち	4
いりょう	normal	い	う	4
いるい	normal	い	い	3
いれもの	normal	い	の	4
いろ	normal	い	ろ	2
いろいろ	normal	い	ろ	4
いろり	normal	い	り	3
いわ	normal	い	わ	2
いわい	normal	い	い	3
いんく	normal	い	く	3
いんさつ	normal	い	つ	4
いんしょう	normal	い	う	5
いんてり	normal	い	り	4
いんど	normal	い	ど	3
いんふれ	normal	い	れ	4
うえ	normal	う	え	2
うえき	normal	う	き	3
うがい	normal	う	い	3
うき	normal	う	き	2
うぐいす	normal	う	す	4
うけつけ	normal	う	け	4
うけとり	normal	う	り	4
うけみ	normal	う	み	3
うごき	normal	う	き	3
うさぎ	normal	う	ぎ	3
うし	normal	う	し	2
うしろ	normal	う	ろ	3
うず	normal	う	ず	2
うずまき	normal	う	き	4
うそ	normal	う	そ	2
うた	normal	う	た	2
うたがい	normal	う	い	4
うたごえ	normal	う	え	4
うち	normal	う	ち	2
うちあわせ	normal	う	せ	5
うちがわ	normal	う	わ	4
うちゅう	normal	う	う	4
うちわ	normal	う	わ	3
うつぶせ	normal	う	せ	4
うで	normal	う	で	2
うでどけい	normal	う	い	5
うでまえ	normal	う	え	4
うなぎ	normal	う	ぎ	3
うま	normal	う	ま	2
うまれ	normal	う	れ	3
うみ	normal	う	み	2
うめ	normal	う	め	2
うめぼし	normal	う	し	4
うら	normal	う	ら	2
うらがえし	normal	う	し	5
うらぐち	normal	う	ち	4
うらみ	normal	う	み	3
うりきれ	normal	う	れ	4
うるし	normal	う	し	3
うろこ	normal	う	こ	3
うわぎ	normal	う	ぎ	3
うわさ	normal	う	さ	3
うんえい	normal	う	い	4
うんどう	normal	う	う	4
うんどうかい	normal	う	い	6
うんどうじょう	normal	う	う	7
うんめい	normal	う	い	4
えいが	normal	え	が	3
えいきょう	normal	え	う	5
えいこく	normal	え	く	4
えいご	normal	え	ご	3
えいせい	normal	え	い	4
えいよう	normal	え	う	4
えがお	normal	え	お	3
えき	normal	え	き	2
えきたい	normal	え	い	4
えさ	normal	え	さ	2
えだ	normal	え	だ	2
えちけっと	normal	え	と	5
えのぐ	normal	え	ぐ	3
えはがき	normal	え	き	4
えび	normal	え	び	2
えもの	normal	え	の	3
えり	normal	え	り	2
えんがわ	normal	え	わ	4
えんき	normal	え	き	3
えんぎ	normal	え	ぎ	3
えんげき	normal	え	き	4
えんそう	normal	え	う	4
えんそく	normal	え	く	4
