reading	kind	characters	auto_rule_failures
あいいく	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいうち	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいかぎ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいがん	terminal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいきょう	normal	5	school-source-count-3
あいぎ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいくち	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいけん	terminal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいこう	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいこく	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
あいことば	normal	5	school-source-count-3
あいご	normal	3	japanese-education-source-count-3-for-2-characters-otherwise-2
あいしゅう	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいしょう	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいじ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいじゃく	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいじん	terminal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいす	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいすりんく	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいせき	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいそ	normal	3	school-source-count-3
あいだがら	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいちゃく	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいちょう	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいづち	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいであ	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
あいとう	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいどく	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいどる	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいぬ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいのこ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいのり	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいば	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいふく	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいぶ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいぼ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいぼう	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいま	normal	3	japanese-education-source-count-3-for-2-characters-otherwise-2
あいみたがい	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいよう	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいよく	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいらく	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいろ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あいわ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あうとらいん	terminal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あえん	terminal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あおい	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あおうめ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あおがえる	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あおき	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あおぎり	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あおくさ	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
あおじゃしん	terminal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あおだいしょう	normal	7	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あおだけ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あおな	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あおにさい	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あおのけ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あおば	normal	3	japanese-education-source-count-3-for-2-characters-otherwise-2
あおむき	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あおむし	normal	4	school-source-count-3
あおもの	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あおやぎ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あおり	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あかがね	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あかぎれ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あかぐみ	normal	4	school-source-count-3
あかご	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あかし	normal	3	japanese-education-source-count-3-for-2-characters-otherwise-2
あかしあ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あかしんごう	normal	6	school-source-count-3
あかずきん	terminal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あかちん	terminal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あかつき	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
あかつち	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あかぬけ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あかはじ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あかぼう	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あかまつ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あからがお	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あかんべ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あがき	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あがりさがり	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あきかぜ	normal	4	school-source-count-3
あきかん	terminal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あきくさ	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
あきさく	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あきす	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あきすねらい	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あきち	normal	3	japanese-education-source-count-3-for-2-characters-otherwise-2
あきない	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あきばこ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あきばれ	normal	4	school-source-count-3
あきびより	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あきびん	terminal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あきま	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あきめくら	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あきや	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あきらめ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あきんど	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あく	normal	2	japanese-education-source-count-3-for-2-characters-otherwise-2
あくい	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくうん	terminal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくえき	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくかんじょう	normal	7	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくぎょう	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくしつ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくしゅう	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくしん	terminal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくじ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくじゅんかん	terminal	7	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくせい	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくた	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくとう	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくとく	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくにん	terminal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくば	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくひつ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくひょう	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくびょう	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくへい	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくへき	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくみょう	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくむ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくめい	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくゆう	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくよう	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくりょく	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくるあさ	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくるとし	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あくるひ	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
あぐら	normal	3	school-source-count-3
あけくれ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あけたて	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あけっぱなし	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あけび	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あけぼの	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あけわたし	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あげあし	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あげあしとり	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あげおろし	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あげく	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あげさげ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あげしお	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あげひばり	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あげもの	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あこがれ	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
あこーでおん	terminal	6	school-source-count-3
あさおき	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あさかぜ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あさがすみ	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あさぎり	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あさぐもり	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あさげ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あさせ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あさっぱら	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あさつゆ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あさづけ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あさなぎ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あさね	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あさねぼう	normal	5	japanese-education-source-count-3-for-2-characters-otherwise-2
あさはん	terminal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あさばん	terminal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
あさまだき	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あさみどり	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あさもや	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
