state	normal_capacity_bits	final_capacity_bits	normal_words	terminal_words	incoming_normal_words	self_loop_words
ぬ	201	198	4	0	2	0
ぴ	201	198	8	2	0	0
ぽ	201	198	7	0	5	0
ぐ	202	199	9	1	11	0
ざ	202	200	7	4	3	0
ず	202	199	8	4	19	0
ぜ	202	199	10	5	3	0
ぞ	202	199	5	3	4	0
ぱ	202	199	8	1	5	0
び	202	199	14	8	27	0
ぷ	202	199	9	1	17	0
べ	202	199	9	0	6	0
ぺ	202	199	6	3	0	0
ら	202	199	12	2	41	0
る	202	199	10	2	46	1
ろ	202	199	8	3	41	0
え	203	201	25	5	35	0
が	203	201	20	5	7	0
ぎ	203	200	18	3	35	1
ご	203	200	15	4	31	1
で	203	200	20	2	7	0
ね	203	201	19	4	19	0
の	203	200	21	2	28	2
ば	203	200	16	6	21	0
へ	203	200	14	3	0	0
ぼ	203	200	17	6	7	0
や	203	201	25	3	20	2
れ	203	200	20	1	27	0
わ	203	200	22	2	28	0
く	204	202	53	4	208	1
げ	204	201	24	4	9	0
そ	204	201	36	7	11	0
だ	204	201	25	6	15	0
ど	204	201	32	2	36	0
な	204	201	43	1	29	1
に	204	201	24	7	7	0
ぶ	204	201	23	3	15	0
ほ	204	202	48	10	1	0
み	204	202	45	6	61	4
む	204	201	26	4	23	0
め	204	201	26	3	30	0
も	204	201	29	3	10	1
ゆ	204	201	36	5	5	0
よ	204	202	41	7	1	0
り	204	201	31	6	141	1
あ	205	203	87	6	4	1
い	205	202	84	12	317	10
う	205	202	47	5	433	3
お	205	202	82	14	12	0
け	205	202	56	11	31	0
さ	205	202	75	10	17	1
じ	205	202	66	23	49	0
す	205	202	60	7	31	1
せ	205	202	74	17	10	0
た	205	203	93	7	35	1
ち	205	202	61	11	73	1
つ	205	202	54	2	146	1
て	205	202	58	6	19	1
と	205	202	69	9	73	1
は	205	203	92	10	1	1
ひ	205	202	72	9	6	0
ふ	205	202	64	10	17	1
ま	205	202	58	6	39	1
か	206	203	166	21	60	0
き	206	203	99	15	153	3
こ	206	203	114	18	38	0
し	207	204	189	36	87	4
